cduid,csdname,csduid,pop
3552,"Mattagami 71 (IRI), Ontario",3552052,196
3560,"Slate Falls (S-É), Ontario",3560046,197
3549,"Parry Sound, Unorganized, North East Part (NO), Ontario",3549095,196
3558,"Rocky Bay 1 (IRI), Ontario",3558069,193
3559,"Neguaguon Lake 25D (IRI), Ontario",3559060,182
3557,"Hilton Beach (VL), Ontario",3557006,175
3560,"Wabigoon Lake 27 (IRI), Ontario",3560057,177
3551,"Manitoulin, Unorganized, West Part (NO), Ontario",3551094,171
3548,"Mattawan (TP), Ontario",3548019,167
3559,"Rainy Lake 26A (IRI), Ontario",3559064,160
3539,"Munsee-Delaware Nation 1 (IRI), Ontario",3539018,170
3560,"Shoal Lake 34B2 (IRI), Ontario",3560064,160
3548,"Bear Island 1 (IRI), Ontario",3548072,158
3556,"Abitibi 70 (IRI), Ontario",3556033,149
3560,"Rat Portage 38A (IRI), Ontario",3560069,146
